# Vybe swap demo — token catalog from Jupiter datapi (Top list)
# Source: https://datapi.jup.ag/v1/assets/search?query=&limit=100
# Denylist: public/data/token-catalog-excluded.json (0 mints)
# Icons: /data/token-icons/ (run npm run download:token-icons to refresh)
# Columns: mint	symbol	name	logoUrl	decimals	tags
# Regenerate: npm run fetch:catalog
# Filter routes: npm run filter:catalog
mint	symbol	name	logoUrl	decimals	tags
5Y8NV33Vv7WbnLfq3zBcKSdYPrk7g2KoiQoe7M2tcxp5	ONyc	Onchain Yield Coin	/data/token-icons/5Y8NV33Vv7WbnLfq3zBcKSdYPrk7g2KoiQoe7M2tcxp5.png	9	
orcaEKTdK7LKz57vaAYr9QeNsVEPfiu6QeMU1kektZE	ORCA	Orca	/data/token-icons/orcaEKTdK7LKz57vaAYr9QeNsVEPfiu6QeMU1kektZE.png	6	
HZ1JovNiVvGrGNiiYvEozEVgZ58xaU3RKwX8eACQBCt3	PYTH	Pyth Network	/data/token-icons/HZ1JovNiVvGrGNiiYvEozEVgZ58xaU3RKwX8eACQBCt3.svg	6	
6FrrzDk5mQARGc1TDYoyVnSyRdds1t4PbtohCD6p3tgG	USX	USX	/data/token-icons/6FrrzDk5mQARGc1TDYoyVnSyRdds1t4PbtohCD6p3tgG.png	6	
BPxxfRCXkUVhig4HS1Lh7kZqV6SPJhzfEk4x6fVBjPCy	BP	Backpack	/data/token-icons/BPxxfRCXkUVhig4HS1Lh7kZqV6SPJhzfEk4x6fVBjPCy.png	9	
Grass7B4RdKfBCjTKgSqnXkqjwiGvQyFbuSCUJr3XXjs	GRASS	Grass	/data/token-icons/Grass7B4RdKfBCjTKgSqnXkqjwiGvQyFbuSCUJr3XXjs.png	9	
GbbesPbaYh5uiAZSYNXTc7w9jty1rpg3P9L4JeN4LkKc	TRX	TRON	/data/token-icons/GbbesPbaYh5uiAZSYNXTc7w9jty1rpg3P9L4JeN4LkKc.png	6	
8wxkvAfEns76yBzu4MnbV7VnXWjg3iDPA9uwAQ6cpump	SOLANGELES	SolAngeles	/data/token-icons/8wxkvAfEns76yBzu4MnbV7VnXWjg3iDPA9uwAQ6cpump.jpg	6	Token2022
MEFNBXixkEbait3xn9bkm8WsJzXtVsaJEn4c8Sam21u	ME	Magic Eden	/data/token-icons/MEFNBXixkEbait3xn9bkm8WsJzXtVsaJEn4c8Sam21u.png	6	
xSoL18r4U1k2ALa4yF857VDZJqCKecLtty92nscre3o	xSHIN	Shinobi Performance Pool Token	/data/token-icons/xSoL18r4U1k2ALa4yF857VDZJqCKecLtty92nscre3o.png	9	
